playerNr;period;nAnimals;animalName;treatment;firstEstimate;secondEstimate;p1;p2;p3;meanP;varP;skewP;age;gender;SocInfo
1;1;93;ant;1;81;85;98;0;0;0;0;0;;;0.235294118
1;2;78;bee;1;64;67;77;;;;;;;;0.230769231
1;3;59;flamingo;1;57;59;68;;;;;;;;0.181818182
1;4;74;crane;1;83;77;67;;;;;;;;0.375
1;5;69;cricket;1;63;66;76;;;;;;;;0.230769231
1;6;98;ant;6;74;73;43;75;77;65;364;-0.38;;;0.111111111
1;7;77;bee;5;62;64;67;69;85;73.667;97.333;0.367;;;0.171423674
1;8;98;flamingo;5;73;75;81;83;99;87.667;97.333;0.367;;;0.136360537
1;9;85;crane;6;92;93;63;91;140;98;1519;0.174;;;0.166666667
1;10;84;cricket;6;82;81;37;59;89;61.667;681.333;0.101;;;0.049181134
1;11;60;ant;3;80;79;55;65;75;65;100;0;;;0.066666667
1;12;98;bee;6;87;88;30;88;101;73;1429;-0.334;;;-0.071428571
1;13;50;flamingo;6;58;59;12;68;106;62;2236;-0.125;;;0.25
1;14;62;crane;6;57;59;77;85;96;86;91;0.104;;;0.068965517
1;15;71;cricket;5;64;66;71;72;89;77.333;102.333;0.381;;;0.15000375
1;16;88;ant;4;85;86;90;107;108;101.667;102.333;-0.381;;;0.0599988
1;17;59;bee;2;64;62;49;50;55;51.333;10.333;0.343;;;0.157890582
1;18;93;flamingo;2;97;95;75;77;81;77.667;9.333;0.208;;;0.103450059
1;19;99;crane;5;77;79;87;88;105;93.333;102.333;0.381;;;0.122451479
1;20;58;cricket;4;49;50;50;66;67;61;91;-0.38;;;0.083333333
1;21;79;ant;5;78;80;90;91;108;96.333;102.333;0.381;;;0.109092893
1;22;50;bee;4;38;39;39;54;58;50.333;100.333;-0.317;;;0.081083273
1;23;69;flamingo;6;77;76;51;65;115;77;1132;0.311;;;#DIV/0!
1;24;52;crane;4;59;57;40;42;58;46.667;97.333;0.367;;;0.162166545
1;25;97;cricket;6;85;86;50;98;133;93.667;1.736.333;-0.103;;;0.115380178
1;26;71;ant;2;85;82;65;68;71;68;9;0;;;0.176470588
1;27;97;bee;6;94;95;24;100;120;81.333;2.565.333;-0.318;;;-0.078945291
1;28;89;flamingo;3;92;90;64;74;84;74;100;0;;;0.111111111
1;29;93;crane;3;96;95;68;78;88;78;100;0;;;0.055555556
1;30;58;cricket;2;66;64;49;54;55;52.667;10.333;-0.343;;;0.15000375
1;31;53;ant;6;57;56;28;44;55;42.333;184.333;-0.121;;;0.068180269
1;32;80;bee;3;66;67;69;79;89;79;100;0;;;0.076923077
1;33;58;flamingo;4;79;77;56;59;75;63.333;104.333;0.348;;;0.127656858
1;34;86;crane;2;92;90;70;75;76;73.667;10.333;-0.343;;;0.109092893
1;35;70;cricket;3;64;65;67;77;87;77;100;0;;;0.076923077
1;36;60;ant;7;44;53;45;55;65;55;100;0;;;0.818181818
1;37;77;bee;7;50;57;54;55;72;60.333;102.333;0.381;;;0.677441208
1;38;93;flamingo;7;33;41;38;43;45;42;13;-0.256;;;0.888888889
1;39;85;crane;7;66;93;101;104;140;115;471;0.377;;;0.551020408
1;40;58;cricket;7;86;73;61;64;80;68.333;104.333;0.348;44;1;0.735835173
2;1;93;ant;1;60;60;72;0;0;0;0;0;;;0
2;2;78;bee;1;65;65;78;;;;;;;;0
2;3;59;flamingo;1;45;45;54;;;;;;;;0
2;4;74;crane;1;80;80;64;;;;;;;;0
2;5;69;cricket;1;65;65;77;;;;;;;;0
2;6;60;ant;7;26;30;28;32;47;35.667;100.333;0.317;;;0.413778835
2;7;77;bee;7;46;49;48;51;67;55.333;104.333;0.348;;;0.321440051
2;8;93;flamingo;7;82;97;96;97;102;98.333;10.333;0.343;;;0.91838609
2;9;85;crane;7;62;93;92;94;108;98;76;0.362;;;0.861111111
2;10;58;cricket;7;58;67;59;74;75;69.333;80.333;-0.38;;;0.794141004
2;11;98;ant;6;65;65;33;72;74;59.667;534.333;-0.382;;;0
2;12;77;bee;5;80;80;53;69;71;64.333;97.333;-0.367;;;0
2;13;98;flamingo;5;100;100;68;83;87;79.333;100.333;-0.317;;;0
2;14;85;crane;6;110;110;55;87;92;78;403;-0.358;;;0
2;15;84;cricket;6;75;75;35;77;101;71;1116;-0.174;;;0
2;16;60;ant;3;55;55;56;66;76;66;100;0;;;0
2;17;98;bee;6;90;90;26;81;95;67.333;1.330.333;-0.322;;;0
2;18;50;flamingo;6;45;45;20;50;84;51.333;1.025.333;0.042;;;0
2;19;62;crane;6;65;65;59;63;114;78.667;940.333;0.378;;;0
2;20;71;cricket;5;60;66;65;67;83;71.667;97.333;0.367;;;0.514271021
2;21;88;ant;4;60;60;61;76;80;72.333;100.333;-0.317;;;0
2;22;59;bee;2;50;58;57;59;64;60;13;0.256;;;0.8
2;23;93;flamingo;2;80;95;93;97;98;96;7;-0.324;;;0.9375
2;24;99;crane;5;105;105;72;89;90;83.667;102.333;-0.381;;;0
2;25;58;cricket;4;65;65;46;47;64;52.333;102.333;0.381;;;0
2;26;79;ant;5;60;65;66;67;84;72.333;102.333;0.381;;;0.405416363
2;27;50;bee;4;55;55;36;38;54;42.667;97.333;0.367;;;0
2;28;69;flamingo;6;80;80;53;55;59;55.667;9.333;0.208;;;0
2;29;52;crane;4;60;60;41;43;59;47.667;97.333;0.367;;;0
2;30;97;cricket;6;90;90;43;71;98;70.667;756.333;-0.012;;;0
2;31;71;ant;2;55;65;62;67;69;66;13;-0.256;;;0.909090909
2;32;97;bee;6;85;85;24;61;96;60.333;1.296.333;-0.019;;;0
2;33;89;flamingo;3;70;70;74;84;94;84;100;0;;;0
2;34;93;crane;3;100;100;70;81;90;80.333;100.333;-0.066;;;0
2;35;58;cricket;2;50;50;57;60;63;60;9;0;;;0
2;36;53;ant;6;55;55;33;36;60;43;219;0.367;;;0
2;37;80;bee;3;70;70;75;83;94;84;91;0.104;;;0
2;38;58;flamingo;4;50;50;51;68;69;62.667;102.333;-0.381;;;0
2;39;86;crane;2;95;95;73;76;79;76;9;0;;;0
2;40;70;cricket;3;60;60;62;72;82;72;100;0;34;1;0
4;1;98;ant;6;45;45;32;66;116;71.333;1.785.333;0.124;;;0
4;2;77;bee;5;50;52;54;55;72;60.333;102.333;0.381;;;0.193554631
4;3;98;flamingo;5;75;75;83;87;101;90.333;89.333;0.309;;;0
4;4;85;crane;6;66;70;101;104;140;115;471;0.377;;;0.081632653
4;5;84;cricket;6;55;55;72;85;108;88.333;332.333;0.177;;;0
4;6;60;ant;3;35;35;36;37;54;42.333;102.333;0.381;;;0
4;7;98;bee;6;60;60;84;106;110;100;196;-0.35;;;0
4;8;50;flamingo;6;32;32;25;39;59;41;292;0.115;;;0
4;9;62;crane;6;43;43;77;82;85;81.333;16.333;-0.16;;;0
